"Data Source","世界发展指标",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"中国","CHN","Labor force with advanced education, female (% of female working-age population with advanced education)","SL.TLF.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"中国","CHN","劳动力参与率，总数（占 15-64 岁总人口的百分比）（模拟劳工组织估计）","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.2389984130859","84.1750030517578","84.1399993896484","84.1139984130859","84.0640029907227","83.9629974365234","83.8209991455078","83.6240005493164","83.3610000610352","83.0139999389648","82.5800018310547","81.8949966430664","81.0960006713867","80.2460021972656","79.4520034790039","78.7829971313477","78.2429962158203","77.8410034179688","77.5210037231445","77.1890029907227","76.7870025634766","76.6490020751953","76.5059967041016","76.3470001220703","76.2020034790039","76.0859985351563","75.9889984130859","75.8880004882813","75.7620010375977","75.6129989624023",
"中国","CHN","劳动力参与率，男性（占 15-64 岁男性人口的百分比）（模拟劳工组织估计）","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.7880020141602","88.7969970703125","88.8560028076172","88.9380035400391","88.995002746582","88.9919967651367","88.9369964599609","88.822998046875","88.6309967041016","88.3430023193359","87.9520034790039","87.3880004882813","86.6989974975586","85.9599990844727","85.2880020141602","84.754997253418","84.3619995117188","84.1100006103516","83.9400024414063","83.7490005493164","83.4810028076172","83.3550033569336","83.2020034790039","83.0080032348633","82.8359985351563","82.7080001831055","82.6119995117188","82.5279998779297","82.4309997558594","82.3619995117188",
"中国","CHN","劳动力参与率，女性（占 15-64 岁女性人口的百分比）（模拟劳工组织估计）","SL.TLF.ACTI.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.3939971923828","79.2590026855469","79.1289978027344","78.9960021972656","78.838996887207","78.6399993896484","78.4120025634766","78.1350021362305","77.7990036010742","77.3949966430664","76.9209976196289","76.1119995117188","75.2009963989258","74.2389984130859","73.3199996948242","72.5070037841797","71.8160018920898","71.254997253418","70.7779998779297","70.2949981689453","69.75","69.5970001220703","69.4589996337891","69.3320007324219","69.2080001831055","69.0979995727539","68.9919967651367","68.8649978637695","68.697998046875","68.4550018310547",
"中国","CHN","15-24岁人口的劳动力参与率，总量（%）（模拟劳工组织估计）","SL.TLF.ACTI.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.254997253418","77.7760009765625","77.3109970092773","76.8219985961914","76.2350006103516","75.4769973754883","74.5289993286133","73.359001159668","71.9720001220703","70.4240036010742","68.7959976196289","66.6330032348633","64.390998840332","62.265998840332","60.484001159668","59.1399993896484","58.2019996643066","57.7229995727539","57.431999206543","56.9000015258789","55.8580017089844","54.8889999389648","53.5340003967285","51.8110008239746","50.0509986877441","48.556999206543","47.2939987182617","46.2779998779297","45.443000793457","45.1459999084473",
"中国","CHN","Labor force participation rate for ages 15-24, total (%) (national estimate)","SL.TLF.ACTI.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","82.8399963378906","","","","","","","","78.2900009155273","","","","","","","","","","67.9199981689453","","","","","","","","","","57.3800010681152","","","","","","","","","",
"中国","CHN","劳动力参与率，男性（占 15-24 岁男性人口的百分比）（模拟劳工组织估计）","SL.TLF.ACTI.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.3379974365234","77.0279998779297","76.7480010986328","76.4509963989258","76.0429992675781","75.4420013427734","74.6289978027344","73.572998046875","72.2819976806641","70.822998046875","69.2880020141602","67.254997253418","65.1460037231445","63.1720008850098","61.5699996948242","60.4309997558594","59.7150001525879","59.4620018005371","59.382999420166","59.0299987792969","58.1300010681152","57.1879997253418","55.7669982910156","53.882999420166","51.9809989929199","50.3769989013672","49.0279998779297","47.9580001831055","47.0989990234375","46.7540016174316",
"中国","CHN","Labor force participation rate for ages 15-24, male (%) (national estimate)","SL.TLF.ACTI.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","81.5400009155273","","","","","","","","77.4000015258789","","","","","","","","","","68.0400009155273","","","","","","","","","","59.5999984741211","","","","","","","","","",
"中国","CHN","劳动力参与率，女性（占 15-24 岁女性人口的百分比）（模拟劳工组织估计）","SL.TLF.ACTI.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.2180023193359","78.5609970092773","77.9029998779297","77.213996887207","76.4369964599609","75.5139999389648","74.4219970703125","73.1320037841797","71.6429977416992","70","68.2740020751953","65.9739990234375","63.5890007019043","61.3030014038086","59.3300018310547","57.7630004882813","56.5870018005371","55.859001159668","55.3310012817383","54.5960006713867","53.3889999389648","52.3769989013672","51.0789985656738","49.5200004577637","47.9029998779297","46.5190010070801","45.3400001525879","44.3779983520508","43.5629997253418","43.314998626709",
"中国","CHN","Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","84.1800003051758","","","","","","","","79.2200012207031","","","","","","","","","","67.7900009155273","","","","","","","","","","55.1100006103516","","","","","","","","","",
